ID,DOI,Link,Creative Commons,"Retracted/Corrected (as of July 21, 2021)","Retraction/Correction DOI (as of July 21, 2021)",Retraction/Correction Reason,"False Alarm Test (as of July 21, 2021)",Content Extraction Annotation,Image Ranking Annotation,Panel Segmentation Annotation,Copy-Move Detection Annotation,Provenance Analysis Annotation
374,10.1074/jbc.M111.275073,https://www.jbc.org/content/286/52/44542.full,No,Yes,10.1074/jbc.A111.275073,No Information,No,Yes,No,No,No,No
375,10.1074/jbc.M112.387738,https://www.jbc.org/content/287/50/41608.full,No,Yes,10.1074/jbc.A117.387738,Questionable Image,No,No,No,No,No,No
376,10.1074/jbc.M110.121863,https://www.jbc.org/content/285/28/21349.full,No,No,-,-,No,Yes,No,No,No,No
377,10.1074/jbc.M109.040022,https://www.jbc.org/content/285/1/153.full,No,No,-,-,No,Yes,No,No,No,No
378,10.1074/jbc.M111.312694,https://www.jbc.org/content/287/13/9873.full,No,No,-,-,No,Yes,No,No,No,No
379,10.1074/jbc.M113.495580,https://www.jbc.org/content/288/48/34799.full,No,No,-,-,No,Yes,Yes,Yes,No,No
380,10.1074/jbc.M401037200,https://www.jbc.org/content/279/34/35564.full,No,Yes,-,Image Duplication,No,Yes,Yes,Yes,Yes,No
381,10.1074/jbc.M610949200,https://www.jbc.org/content/282/25/18018.full,No,Yes,-,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
382,10.1074/jbc.M111.274613,https://www.jbc.org/content/287/1/245.full,No,Yes,-,Image Duplication; Image Falsification/Fabrication; Image Manipulation,No,Yes,No,No,Yes,No
383,10.1074/jbc.M109.090209,https://www.jbc.org/content/285/15/11498.full,No,Yes,-,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,Yes
384,10.1074/jbc.M110.121061,https://www.jbc.org/content/285/35/26987.full,No,Yes,-,Image Manipulation,No,Yes,No,No,No,No
385,10.1074/jbc.M110.191379,https://www.jbc.org/content/286/2/1134.full,No,Yes,-,Image Duplication; Image Manipulation,No,Yes,Yes,Yes,Yes,No
386,10.1074/jbc.M110.183699,https://www.jbc.org/content/286/7/5546.full,No,Yes,-,Image Duplication; Image Manipulation,No,Yes,No,No,No,Yes
387,10.1074/jbc.M110.158378,https://www.jbc.org/content/285/43/33520.full,No,Yes,-,Image Duplication,No,Yes,No,No,No,Yes
388,10.1074/jbc.M110.172767,https://www.jbc.org/content/285/46/35418.full,No,Yes,-,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,Yes
389,10.1074/jbc.M209622200,https://www.jbc.org/content/278/4/2219.full,No,No,-,-,No,Yes,No,No,No,No
390,10.1074/jbc.M502211200,https://www.jbc.org/content/280/52/42557.full,No,No,-,-,No,Yes,No,No,No,No
391,10.1074/jbc.M113.455188,https://www.jbc.org/content/288/45/32343.full,No,No,-,-,No,Yes,No,No,No,No
392,10.1074/jbc.M112.391722,https://www.jbc.org/content/287/33/27629.full,No,Yes,10.1074/jbc.A112.391722,Image Duplication,No,Yes,No,No,Yes,No
393,10.1074/jbc.M111.329078,https://www.jbc.org/content/287/13/10344.full,No,Yes,10.1074/jbc.A111.329078,Image Duplication,No,Yes,No,No,Yes,Yes
394,10.1074/jbc.M113.471433,https://www.jbc.org/content/288/33/24200.full,No,Yes,10.1074/jbc.A113.471433,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
395,10.1074/jbc.M112.374611,https://www.jbc.org/content/287/42/34970.full,No,Yes,10.1074/jbc.A112.374611,Image Duplication; Image Manipulation,No,Yes,No,No,No,Yes
396,10.1074/jbc.M116.715797,https://www.jbc.org/content/291/31/16271.full,No,Yes,10.1074/jbc.RX119.011168,Image Duplication,No,No,No,No,No,No
397,10.1074/jbc.M109.094060,https://www.jbc.org/content/285/11/8383.full,No,Yes,10.1074/jbc.A109.094060,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
398,10.1074/jbc.273.11.6525,https://www.jbc.org/content/273/11/6525.full,No,Yes,10.1074/jbc.A113.116525,Image Falsification/Fabrication,No,Yes,No,No,No,No
399,10.1074/jbc.M003401200,https://www.jbc.org/content/275/33/25595.full,No,Yes,10.1074/jbc.A113.003401,Image Falsification/Fabrication,No,Yes,No,No,No,No
400,10.1074/jbc.M109278200,https://www.jbc.org/content/277/7/4925.full,No,Yes,10.1074/jbc.A113.109278,Image Falsification/Fabrication,No,Yes,No,No,No,No
401,10.1074/jbc.M202465200,https://www.jbc.org/content/277/26/23525.full,No,Yes,10.1074/jbc.A113.202465,Image Falsification/Fabrication,No,Yes,Yes,Yes,No,No
402,10.1074/jbc.M501238200,https://www.jbc.org/content/280/33/29543.full,No,Yes,10.1074/jbc.A113.501238,Image Falsification/Fabrication,No,Yes,No,No,No,No
403,10.1074/jbc.M701978200,https://www.jbc.org/content/282/29/21542.full,No,Yes,10.1074/jbc.A113.701978,Image Duplication,No,Yes,No,No,No,No
404,10.1074/jbc.M113.532887,https://www.jbc.org/content/289/21/14520.full,No,No,-,-,No,Yes,No,No,No,No
405,10.1074/jbc.M205838200,https://www.jbc.org/content/277/38/35364.full,No,Yes,10.1074/jbc.A116.205838,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
406,10.1074/jbc.M312044200,https://www.jbc.org/content/279/7/5405.full,No,Yes,10.1074/jbc.A116.312044,Image Duplication,No,Yes,Yes,Yes,Yes,Yes
407,10.1074/jbc.M113.500934,https://www.jbc.org/content/289/3/1639.full,No,Yes,10.1074/jbc.AAC119.010208,Image Error,No,Yes,No,No,No,No
408,10.1074/jbc.M111.226332,https://www.jbc.org/content/286/21/18602.full,No,Yes,10.1074/jbc.A111.226332,Image Duplication,No,Yes,No,No,Yes,No
409,10.1074/jbc.M114.608232,https://www.jbc.org/content/290/2/1210.full,No,Yes,10.1074/jbc.A114.608232,Image Duplication; Image Manipulation,No,Yes,Yes,Yes,Yes,No
410,10.1074/jbc.M806041200,https://www.jbc.org/content/283/45/31079.full,No,Yes,10.1074/jbc.A116.806041,Image Duplication,No,Yes,Yes,Yes,Yes,No
411,10.1074/jbc.M109.078212,https://www.jbc.org/content/285/6/3676.full,No,Yes,10.1074/jbc.A109.078212,Image Duplication,No,Yes,No,No,Yes,No
412,10.1074/jbc.M111.287433,https://www.jbc.org/content/286/43/37389.full,No,Yes,10.1074/jbc.A111.287433,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
413,10.1074/jbc.M114.580175,https://www.jbc.org/content/289/38/26213.full,No,Yes,10.1074/jbc.A114.580175,Image Error,No,Yes,Yes,Yes,No,No
414,10.1074/jbc.M603393200,https://www.jbc.org/content/281/40/30152.full,No,Yes,10.1074/jbc.A117.603393,Image Duplication Across Articles,No,No,No,No,Yes,No
415,10.1074/jbc.275.17.12712,https://www.jbc.org/content/275/17/12712.full,No,Yes,10.1074/jbc.A012712200,Questionable Image,No,No,No,No,No,No
416,10.1074/jbc.M100408200,https://www.jbc.org/content/276/29/27575.full,No,Yes,10.1074/jbc.A113.100408,Image Duplication,No,Yes,No,No,Yes,No
417,10.1074/jbc.M803547200,https://www.jbc.org/content/283/45/31012.full,No,Yes,10.1074/jbc.A116.803547,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
418,10.1074/jbc.M700445200,https://www.jbc.org/content/282/15/10981.full,No,Yes,10.1074/jbc.A116.700445,Image Duplication; Image Manipulation,No,No,No,No,No,No
419,10.1074/jbc.M114.618355,https://www.jbc.org/content/290/25/15717.full,No,Yes,10.1074/jbc.W119.010445,Image Duplication; Image Manipulation,No,Yes,No,No,No,No
420,10.1074/jbc.M804051200,https://www.jbc.org/content/284/5/2787.full,No,Yes,10.1074/jbc.W117.000658,Image Duplication,No,Yes,No,No,Yes,No
421,10.1074/jbc.M109.049395,https://www.jbc.org/content/284/48/33623.full,No,Yes,10.1074/jbc.W119.010212,Image Duplication,No,No,No,No,No,No
422,10.1074/jbc.M306295200,https://www.jbc.org/content/278/44/42992.full,No,Yes,10.1074/jbc.A116.306295,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
423,10.1074/jbc.M404421200,https://www.jbc.org/content/279/42/43940.full,No,Yes,10.1074/jbc.W119.010595,Image Duplication,No,No,No,No,No,No
424,10.1074/jbc.M111.221903,https://www.jbc.org/content/286/29/25663.full,No,Yes,10.1074/jbc.W119.010444,Image Duplication,No,No,No,No,No,No
425,10.1074/jbc.M310051200,https://www.jbc.org/content/279/7/6171.full,No,Yes,10.1074/jbc.W119.010305,Image Manipulation,No,No,No,No,No,No
426,10.1194/jlr.M011155,https://www.jlr.org/content/52/6/1162.full,No,Yes,10.1194/jlr.W119000262,Image Manipulation,No,No,No,No,No,Yes
427,10.1074/jbc.M108128200,https://www.jbc.org/content/277/12/10727.full,No,Yes,10.1074/jbc.W119.010306,Image Duplication; Image Manipulation,No,No,No,No,No,No
428,10.1074/jbc.M207434200,https://www.jbc.org/content/278/3/1751.full,No,Yes,10.1074/jbc.W119.010673,Image Duplication; Image Manipulation,No,No,No,No,No,No
429,10.1074/jbc.M708208200,https://www.jbc.org/content/283/18/12446.full,No,Yes,10.1074/jbc.W119.010661,Image Duplication,No,No,No,No,No,No
430,10.1074/jbc.M109.012583,https://www.jbc.org/content/284/25/17120.full,No,Yes,10.1074/jbc.W119.010660,Image Duplication,No,No,No,No,No,No
431,10.1074/jbc.M112.442384,https://www.jbc.org/content/288/16/11216.full,No,Yes,10.1074/jbc.A112.442384,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
432,10.1074/jbc.M109.065987,https://www.jbc.org/content/285/10/6980.full,No,Yes,10.1074/jbc.A109.065987,Image Error,No,No,No,No,No,No
433,10.1074/jbc.M110.139469,https://www.jbc.org/content/285/31/23590.full,No,Yes,10.1074/jbc.A117.139469,Image Error,No,No,No,No,No,No
434,10.1074/jbc.M111.314088,https://www.jbc.org/content/287/8/5615.full,No,Yes,10.1074/jbc.A114.314088,No Information,No,No,No,No,No,No
435,10.1074/jbc.M111.324632,https://www.jbc.org/content/287/8/5483.full,No,Yes,10.1074/jbc.A111.324632,No Information,No,No,No,No,No,No
436,10.1074/jbc.M116.726372,https://www.jbc.org/content/291/26/13855.full,No,No,-,-,No,No,No,No,No,No
437,10.1074/jbc.M512112200,https://www.jbc.org/content/281/10/6718.full,No,Yes,10.1074/jbc.A113.512112,Image Falsification/Fabrication,No,No,No,No,No,No
438,10.1074/jbc.M109.087635,https://www.jbc.org/content/285/23/17525.full,No,Yes,10.1074/jbc.A109.087635,Image Duplication,No,No,No,No,No,No
439,10.1074/jbc.M110.109272,https://www.jbc.org/content/285/18/13748.full,No,Yes,10.1074/jbc.A110.109272,Image Manipulation,No,No,No,No,No,No
440,10.1074/jbc.M111.255711,https://www.jbc.org/content/286/48/41812.full,No,Yes,10.1074/jbc.W117.001458,Image Duplication,No,No,No,No,No,No
441,10.1074/jbc.M109.095208,https://www.jbc.org/content/285/13/10064.full,No,Yes,10.1074/jbc.A109.095208,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
442,10.1074/jbc.M113.529925,https://www.jbc.org/content/289/11/7654.full,No,Yes,10.1074/jbc.A113.529925,Image Manipulation,No,No,No,No,No,No
443,10.1074/jbc.M109.036541,https://www.jbc.org/content/284/40/27487.full,No,Yes,10.1074/jbc.A109.036541,Image Duplication; Image Falsification/Fabrication; Image Manipulation,No,No,No,No,Yes,No
444,10.1074/jbc.M201733200,https://www.jbc.org/content/277/26/23230.full,No,Yes,10.1074/jbc.A116.201733,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
445,10.1074/jbc.M110.121129,https://www.jbc.org/content/285/43/33045.full,No,Yes,10.1074/jbc.A110.121129,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
446,10.1074/jbc.M112.398776,https://www.jbc.org/content/287/44/36693.full,No,Yes,10.1074/jbc.W117.000978,Image Duplication; Image Manipulation,No,No,No,No,No,No
447,10.1074/jbc.M504011200,https://www.jbc.org/content/280/47/38932.full,No,Yes,10.1074/jbc.A116.504011,Image Manipulation,No,No,No,No,No,No
448,10.1074/jbc.M111.333922,https://www.jbc.org/content/287/14/11151.full,No,Yes,10.1074/jbc.A111.333922,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
449,10.1074/jbc.M800384200,https://www.jbc.org/content/283/23/16077.full,No,Yes,10.1074/jbc.W118.002740,Image Duplication; Image Manipulation,No,No,No,No,No,No
450,10.1074/jbc.M701050200,https://www.jbc.org/content/282/33/24262.full,No,Yes,10.1074/jbc.A112.701050,Image Falsification/Fabrication,No,No,No,No,No,No
451,10.1074/jbc.M109.033407,https://www.jbc.org/content/285/2/1529.full,No,Yes,10.1074/jbc.A109.033407,Image Falsification/Fabrication,No,No,No,No,No,No
452,10.1074/jbc.M110.101055,https://www.jbc.org/content/285/23/17869.full,No,Yes,10.1074/jbc.A110.101055,Image Duplication; Image Manipulation,No,No,No,No,No,Yes
453,10.1074/jbc.M007281200,https://www.jbc.org/content/276/17/14459.full,No,Yes,10.1074/jbc.W118.003466,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
454,10.1074/jbc.M207380200,https://www.jbc.org/content/278/16/14533.full,No,Yes,10.1074/jbc.W118.003467,Image Duplication,No,No,No,No,No,No
455,10.1074/jbc.M113.484253,https://www.jbc.org/content/288/33/24247.full,No,Yes,10.1074/jbc.A113.484253,Image Duplication; Image Manipulation,No,No,No,No,No,No
456,10.1074/jbc.M114.611574,https://www.jbc.org/content/290/22/13888.full,No,Yes,10.1074/jbc.A114.611574,Image Duplication Across Articles,No,No,No,No,Yes,No
457,10.1074/jbc.M203636200,https://www.jbc.org/content/277/33/29973.full,No,Yes,10.1074/jbc.A116.203636,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
458,10.1074/jbc.M302674200,https://www.jbc.org/content/278/26/23432.full,No,Yes,10.1074/jbc.A116.302674,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
459,10.1074/jbc.M500097200,https://www.jbc.org/content/280/22/21483.full,No,Yes,10.1074/jbc.A116.500097,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
460,10.1074/jbc.M109.059675,https://www.jbc.org/content/285/6/3815.full,No,Yes,10.1074/jbc.A109.059675,Image Duplication,No,No,No,No,No,Yes
461,10.1073/pnas.0808357105,https://www.pnas.org/content/105/40/15529,No,Yes,10.1073/pnas.1916178116,Image Manipulation,No,Yes,No,No,No,No
462,10.1128/MCB.05424-11,https://mcb.asm.org/content/31/17/3515,No,Yes,10.1128/MCB.00106-18,Image Duplication; Image Manipulation,No,Yes,No,No,No,Yes
463,10.1128/jvi.56.1.284-292.1985,https://JVI.asm.org/content/56/1/284,No,Yes,10.1128/JVI.02169-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
464,10.1128/mcb.7.9.3365,https://mcb.asm.org/content/7/9/3365,No,Yes,10.1128/MCB.00663-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
465,10.1158/0008-5472.CAN-10-1296,https://cancerres.aacrjournals.org/content/71/4/1406,No,Yes,10.1158/0008-5472.CAN-17-0556,Image Duplication,No,Yes,No,No,Yes,No
466,10.1242/jcs.197574,https://jcs.biologists.org/content/130/4/805,No,Yes,10.1242/jcs.210690,Image Duplication,No,Yes,No,No,No,No
467,10.1158/0008-5472.CAN-07-0323,https://cancerres.aacrjournals.org/content/67/11/5380,No,Yes,10.1158/0008-5472.CAN-14-3458,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
468,10.1242/jcs.058537,https://jcs.biologists.org/content/122/24/4452,No,Yes,10.1242/jcs.074286,Image Error,No,Yes,No,No,No,No
469,10.1242/jcs.097295,https://jcs.biologists.org/content/125/4/1027,No,Yes,10.1242/jcs.201947,Image Duplication Across Articles,No,Yes,No,No,No,No
470,10.1242/jcs.133819,https://jcs.biologists.org/content/126/24/5657,No,Yes,10.1242/jcs.201954,Image Manipulation,No,Yes,No,No,No,No
471,10.1158/1078-0432.CCR-08-1783,https://clincancerres.aacrjournals.org/content/15/5/1534,No,Yes,10.1158/1078-0432.CCR-18-2878,Image Duplication,No,No,No,No,No,No
472,10.1073/pnas.93.25.14960,https://www.pnas.org/content/93/25/14960,No,No,-,-,No,Yes,No,No,No,No
473,10.1073/pnas.0400282101,https://www.pnas.org/content/101/10/3381,No,No,-,-,No,Yes,No,No,No,No
474,10.1158/0008-5472.CAN-09-2938,https://cancerres.aacrjournals.org/content/70/3/1006,No,Yes,10.1158/0008-5472.CAN-18-2453,Questionable Data,No,No,No,No,No,No
475,10.1128/AAC.01984-12,https://aac.asm.org/content/57/4/1714,No,No,-,-,No,Yes,No,No,No,No
476,10.1158/1535-7163.MCT-14-0672,https://mct.aacrjournals.org/content/14/7/1728,No,Yes,10.1158/1535-7163.MCT-17-0310,Image Falsification/Fabrication,No,No,No,No,No,No
477,10.1073/pnas.0806674105,https://www.pnas.org/content/105/49/19432,No,Yes,10.1073/pnas.0902004106,Unreproducible Experiments,No,Yes,No,No,No,No
478,10.1158/1078-0432.CCR-09-1939,https://clincancerres.aacrjournals.org/content/15/24/7553,No,Yes,10.1158/1078-0432.CCR-12-0337,Data Error,No,No,No,No,No,No
479,10.1242/jcs.01612,https://jcs.biologists.org/content/118/1/243,No,Yes,10.1242/jcs.195966,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
480,10.1158/1541-7786.MCR-08-0154,https://mcr.aacrjournals.org/content/7/1/118,No,Yes,10.1158/1541-7786.MCR-18-0817,Image Duplication,No,Yes,No,No,Yes,Yes
481,10.1158/1078-0432.CCR-06-2575,https://clincancerres.aacrjournals.org/content/13/10/3024,No,Yes,10.1158/1078-0432.CCR-18-2524,Data Duplication,No,Yes,No,No,Yes,Yes
482,10.1158/1535-7163.MCT-08-0432,https://mct.aacrjournals.org/content/7/10/3306,No,Yes,10.1158/1535-7163.MCT-18-0871,Image Duplication,No,Yes,No,No,No,Yes
483,10.1158/0008-5472.CAN-09-2045,https://cancerres.aacrjournals.org/content/69/23/8958,No,Yes,10.1158/0008-5472.CAN-18-1825,Image Duplication,No,Yes,No,No,Yes,No
484,10.1158/1541-7786.MCR-10-0141,https://mcr.aacrjournals.org/content/8/10/1425,No,Yes,10.1158/1541-7786.MCR-18-0818,Image Duplication; Image Falsification/Fabrication,No,Yes,No,No,Yes,No
485,10.1158/1940-6207.CAPR-10-0340,https://cancerpreventionresearch.aacrjournals.org/content/4/7/1084,No,Yes,10.1158/1940-6207.CAPR-18-0235,Image Duplication; Image Manipulation,No,Yes,Yes,Yes,Yes,No
486,10.1158/0008-5472.CAN-10-2318,https://cancerres.aacrjournals.org/content/70/21/8695,No,Yes,10.1158/0008-5472.CAN-18-1826,Image Duplication,No,Yes,Yes,Yes,Yes,No
487,10.1158/1535-7163.MCT-10-0277,https://mct.aacrjournals.org/content/9/8/2196,No,Yes,10.1158/1535-7163.MCT-18-0869,Image Duplication,No,Yes,No,No,Yes,No
488,10.1158/1535-7163.MCT-09-1113,https://mct.aacrjournals.org/content/9/4/856,No,Yes,10.1158/1535-7163.MCT-18-0870,Image Duplication,No,Yes,No,No,No,No
489,10.1158/1078-0432.CCR-05-1749,https://clincancerres.aacrjournals.org/content/12/2/662,No,Yes,10.1158/1078-0432.CCR-18-2525,Image Duplication,No,Yes,Yes,Yes,Yes,Yes
490,10.1158/0008-5472.CAN-07-6696,https://cancerres.aacrjournals.org/content/68/11/4406,No,Yes,10.1158/0008-5472.CAN-18-2371,Image Manipulation,No,Yes,No,No,No,No
491,10.1158/0008-5472.CAN-08-1902,https://cancerres.aacrjournals.org/content/68/21/8861,No,Yes,10.1158/0008-5472.CAN-18-1824,Image Duplication,No,Yes,No,No,Yes,No
492,10.1158/0008-5472.CAN-10-3121,https://cancerres.aacrjournals.org/content/71/2/538,No,Yes,10.1158/0008-5472.CAN-18-2370,Image Duplication; Image Manipulation,No,Yes,No,No,No,Yes
493,10.1158/1541-7786.MCR-07-2088,https://mcr.aacrjournals.org/content/6/6/1059,No,Yes,10.1158/1541-7786.MCR-18-0820,Image Duplication,No,Yes,No,No,Yes,No
494,10.1158/1541-7786.MCR-06-0348,https://mcr.aacrjournals.org/content/5/9/943,No,Yes,10.1158/1541-7786.MCR-18-0819,Image Duplication,No,Yes,No,No,Yes,Yes
495,10.1158/0008-5472.CAN-08-3249,https://cancerres.aacrjournals.org/content/69/4/1477,No,Yes,10.1158/0008-5472.CAN-18-1827,Image Duplication,No,Yes,No,No,Yes,Yes
496,10.1158/0008-5472.CAN-09-1161,https://cancerres.aacrjournals.org/content/69/16/6581,No,Yes,10.1158/0008-5472.CAN-18-1828,Image Duplication,No,Yes,No,No,Yes,No
497,10.1158/1078-0432.ccr-03-0494,https://clincancerres.aacrjournals.org/content/10/9/3207,No,Yes,10.1158/1078-0432.CCR-14-1017,Image Duplication,No,Yes,No,No,Yes,No
498,10.1158/1535-7163.MCT-09-1145,https://mct.aacrjournals.org/content/9/5/1136,No,Yes,10.1158/1535-7163.MCT-10-0536,Wrong Author Information,No,Yes,No,No,No,No
499,10.1158/0008-5472.CAN-07-5944,https://cancerres.aacrjournals.org/content/68/6/1843,No,Yes,10.1158/0008-5472.CAN-68-10-COR1,Text Error,No,Yes,No,No,No,No
500,10.1158/0008-5472.CAN-03-1484,https://cancerres.aacrjournals.org/content/64/2/672,No,Yes,-,Text Error,No,Yes,No,No,No,No
501,10.1158/1535-7163.MCT-14-0171,https://mct.aacrjournals.org/content/13/10/2422,No,No,-,-,No,Yes,No,No,No,No
502,10.1158/1078-0432.CCR-13-0080,https://clincancerres.aacrjournals.org/content/19/16/4465,No,No,-,-,No,Yes,No,No,No,No
503,10.1158/1078-0432.CCR-11-2805,https://clincancerres.aacrjournals.org/content/18/18/4942,No,No,-,-,No,Yes,No,No,No,No
504,10.1158/0008-5472.CAN-06-4067,https://cancerres.aacrjournals.org/content/67/9/4346,No,Yes,10.1158/0008-5472.CAN-19-1891,Image Duplication Across Articles,No,Yes,No,No,No,No
505,10.1128/IAI.01192-08,https://IAI.asm.org/content/77/3/1031,No,Yes,10.1128/IAI.00054-17,Image Duplication,No,Yes,No,No,No,No
506,10.1128/JVI.01208-12,https://jvi.asm.org/content/86/18/10138,No,Yes,10.1128/JVI.01708-17,Image Manipulation,No,Yes,No,No,Yes,No
507,10.1242/jcs.148601,https://jcs.biologists.org/content/127/15/3360,No,Yes,10.1242/jcs.210005,Image Duplication,No,Yes,No,No,Yes,No
508,10.1073/pnas.0907622106,https://www.pnas.org/content/106/37/15885,No,Yes,10.1073/pnas.1916177116,Image Manipulation,No,Yes,No,No,No,No
509,10.1158/0008-5472.CAN-05-0808,https://cancerres.aacrjournals.org/content/66/3/1611,No,Yes,10.1158/0008-5472.CAN-19-2621,Image Duplication,No,Yes,No,No,No,No
510,10.1128/MCB.00799-13,https://mcb.asm.org/content/34/2/259,No,Yes,10.1128/MCB.00215-17,Image Manipulation,No,Yes,No,No,Yes,No
511,10.1242/jcs.166553,https://jcs.biologists.org/content/128/14/2482,No,Yes,10.1242/jcs.215293,Image Duplication,No,No,No,No,Yes,No
512,10.1073/pnas.0400441101,https://www.pnas.org/content/101/10/3450,No,Yes,10.1073/pnas.1220320110,Data Falsification/Fabrication,No,Yes,No,No,No,No
513,10.1158/1535-7163.MCT-10-0019,https://mct.aacrjournals.org/content/9/6/1503,No,Yes,10.1158/1535-7163.MCT-10-0671,Image Error,No,Yes,Yes,Yes,No,No
514,10.1158/0008-5472.CAN-04-4604,https://cancerres.aacrjournals.org/content/65/15/6934,No,Yes,10.1158/0008-5472.CAN-65-23-COR1,Text Error,No,Yes,Yes,Yes,No,No
515,10.1073/pnas.1308206110,https://www.pnas.org/content/110/46/18650,No,No,-,-,No,Yes,No,No,No,No
516,10.1158/1940-6207.CAPR-17-0198,https://cancerpreventionresearch.aacrjournals.org/content/10/10/588,No,Yes,10.1158/1940-6207.CAPR-19-0406,Image Manipulation,No,Yes,No,No,No,No
517,10.1128/mcb.20.24.9236-9246.2000,https://MCB.asm.org/content/20/24/9236,No,Yes,10.1128/MCB.00661-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
518,10.1073/pnas.1012753108,https://www.pnas.org/content/108/9/3743,No,Yes,10.1073/pnas.1720655115,Image Duplication; Image Manipulation,No,No,No,No,Yes,No
519,10.1158/1078-0432.CCR-07-0835,https://clincancerres.aacrjournals.org/content/13/14/4280,No,Yes,10.1158/1078-0432.CCR-16-1914,Image Duplication Across Articles; Image Falsification/Fabrication,No,Yes,Yes,Yes,No,No
520,10.1158/1535-7163.MCT-10-0124,https://mct.aacrjournals.org/content/9/10/2724,No,Yes,10.1158/1535-7163.MCT-15-0983,Image Falsification/Fabrication,No,Yes,Yes,Yes,Yes,No
521,10.1158/0008-5472.CAN-05-1614,https://cancerres.aacrjournals.org/content/65/23/10901,No,Yes,10.1158/0008-5472.CAN-19-2443,Image Duplication,No,Yes,No,No,No,No
522,10.1073/pnas.97.3.1050,https://www.pnas.org/content/97/3/1050,No,Yes,10.1073/pnas.1803134115,Image Duplication; Image Manipulation,No,Yes,No,No,Yes,No
523,10.1158/1541-7786.MCR-13-0033-T,https://mcr.aacrjournals.org/content/11/11/1425,No,Yes,10.1158/1541-7786.MCR-19-0860,Image Duplication,No,No,No,No,No,No
524,10.1242/jcs.01002,https://jcs.biologists.org/content/117/9/1687,No,Yes,10.1242/jcs.209981,Image Duplication,No,Yes,Yes,Yes,No,No
525,10.1242/jcs.02878,https://jcs.biologists.org/content/119/8/1558,No,Yes,-,Data Duplication; Image Duplication; Image Manipulation,No,Yes,No,No,No,No
526,10.1158/0008-5472.CAN-06-2892,https://cancerres.aacrjournals.org/content/67/3/930,No,Yes,10.1158/0008-5472.CAN-18-1182,Image Duplication,No,Yes,No,No,Yes,Yes
527,10.1158/0008-5472.CAN-07-0751,https://cancerres.aacrjournals.org/content/67/14/6637,No,Yes,10.1158/0008-5472.CAN-18-1183,Image Duplication; Image Falsification/Fabrication,No,Yes,Yes,Yes,No,Yes
528,10.1158/0008-5472.CAN-05-2645,https://cancerres.aacrjournals.org/content/66/5/2553,No,Yes,10.1158/0008-5472.CAN-19-1711,Image Duplication,No,Yes,No,No,No,No
529,10.1128/MCB.05189-11,https://mcb.asm.org/content/31/19/4097,No,Yes,10.1128/MCB.00530-17,Image Duplication; Text Error,No,Yes,No,No,No,No
530,10.1242/jcs.061846,https://jcs.biologists.org/content/123/6/894,No,Yes,10.1242/jcs.193631,Image Duplication; Image Manipulation; Data Falsification/Fabrication,No,Yes,No,No,No,No
531,10.1242/jcs.073502,https://jcs.biologists.org/content/123/23/4117,No,Yes,10.1242/jcs.187005,Image Duplication Across Articles,No,Yes,No,No,No,No
532,10.1242/jcs.103093,https://jcs.biologists.org/content/125/12/2995,No,Yes,10.1242/jcs.187013,Image Duplication Across Articles,No,Yes,No,No,No,No
533,10.1242/jcs.115188,https://jcs.biologists.org/content/126/1/274,No,Yes,10.1242/jcs.187021,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
534,10.1242/jcs.140764,https://jcs.biologists.org/content/127/4/896,No,Yes,10.1242/jcs.187039,Image Duplication Across Articles,No,Yes,Yes,Yes,No,No
535,10.1128/JVI.02604-09,https://JVI.asm.org/content/84/15/7683,No,Yes,10.1128/JVI.03512-13,Image Duplication; Image Manipulation,No,No,No,No,Yes,Yes
536,10.1128/MCB.00802-12,https://mcb.asm.org/content/33/6/1124,No,Yes,10.1128/MCB.00477-17,Image Duplication; Image Manipulation,No,No,No,No,No,No
537,10.1128/MCB.25.11.4727-4741.2005,https://mcb.asm.org/content/25/11/4727,No,Yes,10.1128/MCB.00539-17,Image Duplication,No,No,No,No,Yes,No
538,10.1128/mcb.20.12.4428-4435.2000,https://MCB.asm.org/content/20/12/4428,No,Yes,10.1128/MCB.00845-06,Questionable Image,No,No,No,No,No,No
